n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
890;5122630;293209;1012;40
891;5207399;290113;1032;170
892;5121438;292107;1052;50
893;5205415;290423;1052;170
894;5143329;289582;1022;60
895;5115166;294030;1803;200
896;5102593;297548;1052;51
897;5228248;290594;1032;150
898;5155161;294942;1052;50
899;5130015;290214;1042;190
900;5124374;293178;1062;71
901;5196579;292728;1072;170
902;5264516;293309;1052;51
903;5183975;294952;1062;161
904;5351178;308788;1082;60
905;5201448;293509;1041;160
906;5309229;292368;1042;50
907;5268203;302416;1893;210
908;5566721;299681;1052;60
909;5228579;297527;1042;190
910;5259246;299601;1062;60
911;5408866;299972;1082;180
912;5399148;299100;1052;50
913;5493154;300222;1082;191
914;5314340;299501;1062;60
915;5450795;301053;1072;160
916;5599412;303087;1072;51
917;5546765;314399;1082;181
918;5457257;312686;1082;61
919;5378911;300232;1062;180
920;5489086;303448;1092;50
921;5568836;304711;1092;160
922;5541164;301183;1052;60
923;5444531;304460;1092;180
924;5490419;302757;1072;60
925;5351519;301635;1072;170
926;5539641;306012;1112;50
927;5590416;309870;1072;190
928;5413576;303348;1052;70
929;5581901;305963;1112;151
930;5547186;304540;1072;60
931;5544300;302085;1082;160
932;5596999;319247;1172;50
933;5508333;304690;1062;180
934;5720931;307115;1082;60
935;5622226;307946;1082;191
936;5542316;306824;1092;60
937;5578113;309369;1062;140
938;5615523;306524;1082;60
939;5570688;305852;1092;161
940;5673141;305982;1082;50
941;5569006;306093;1072;141
942;5652983;307415;1092;60
943;5681016;310001;1072;130
944;5760204;311363;1112;60
945;5701003;309569;1072;171
946;5661770;307666;1122;60
947;5754113;312605;1122;200
948;5721071;311002;1122;60
949;5829013;333173;1883;200
950;5759834;313897;1112;61
951;5908993;311222;1103;170
952;5852466;313117;1132;60
953;5892812;314859;1122;181
954;6045238;315210;1102;60
955;5846947;326622;1112;120
956;6030389;315871;1123;60
957;5860511;315230;1102;161
958;5997578;316613;1112;60
959;5814365;316242;1102;170
960;5895428;327744;1102;50
961;5999191;318526;1122;160
962;6030189;315741;1112;50
963;5922578;317755;1122;171
964;6042473;318596;1132;60
965;6014019;319187;1092;150
966;5959146;315811;1112;60
967;6093248;318437;1122;160
968;5996457;316513;1112;60
969;6072148;319247;1123;160
970;6058953;319097;1112;60
971;6019860;319328;1092;140
972;6114998;320761;1132;50
973;6032333;317425;1102;170
974;6056118;321892;1122;80
975;6095952;320290;1122;180
976;6045859;321412;1102;70
977;6213823;322624;1122;161
